y,flux,flux_err,mb_flux
0.031250,0.000113,0.000003,0.000976
0.093750,0.002487,0.000026,0.008712
0.156250,0.011066,0.000071,0.023825
0.218750,0.029727,0.000139,0.045616
0.281250,0.061265,0.000228,0.073086
0.343750,0.107676,0.000336,0.104995
0.406250,0.168905,0.000460,0.139930
0.468750,0.245581,0.000598,0.176383
0.531250,0.333044,0.000743,0.212828
0.593750,0.429590,0.000888,0.247800
0.656250,0.530368,0.001032,0.279965
0.718750,0.630247,0.001167,0.308176
0.781250,0.725495,0.001288,0.331518
0.843750,0.812323,0.001394,0.349339
0.906250,0.882292,0.001471,0.361256
0.968750,0.939346,0.001527,0.367154
1.031250,0.977637,0.001559,0.367169
1.093750,0.996560,0.001563,0.361655
1.156250,1.000000,0.001547,0.351147
1.218750,0.984431,0.001509,0.336317
1.281250,0.958069,0.001458,0.317928
1.343750,0.918576,0.001392,0.296788
1.406250,0.869733,0.001319,0.273710
1.468750,0.817165,0.001240,0.249473
1.531250,0.761282,0.001161,0.224797
1.593750,0.702267,0.001079,0.200316
1.656250,0.645242,0.001001,0.176567
1.718750,0.590431,0.000924,0.153984
1.781250,0.540165,0.000858,0.132892
1.843750,0.493297,0.000796,0.113516
1.906250,0.451578,0.000741,0.095990
1.968750,0.414095,0.000691,0.080365
2.031250,0.381118,0.000646,0.066625
2.093750,0.353913,0.000610,0.054701
2.156250,0.328716,0.000577,0.044482
2.218750,0.307180,0.000549,0.035830
2.281250,0.288953,0.000525,0.028591
2.343750,0.273194,0.000505,0.022603
2.406250,0.258928,0.000484,0.017705
2.468750,0.246579,0.000469,0.013742
2.531250,0.236453,0.000455,0.010569
2.593750,0.226523,0.000442,0.008056
2.656250,0.218753,0.000431,0.006086
2.718750,0.211418,0.000421,0.004556
2.781250,0.205301,0.000412,0.003381
2.843750,0.198229,0.000403,0.002487
2.906250,0.193044,0.000396,0.001813
2.968750,0.187566,0.000389,0.001311
3.031250,0.182498,0.000381,0.000939
3.093750,0.178230,0.000375,0.000667
