y,flux,flux_err,mb_flux
0.031250,0.000169,0.000002,0.000976
0.093750,0.003518,0.000018,0.008712
0.156250,0.015618,0.000050,0.023825
0.218750,0.041060,0.000101,0.045616
0.281250,0.083385,0.000171,0.073086
0.343750,0.143896,0.000261,0.104995
0.406250,0.221465,0.000367,0.139930
0.468750,0.314670,0.000489,0.176383
0.531250,0.419547,0.000617,0.212828
0.593750,0.528896,0.000750,0.247800
0.656250,0.638774,0.000880,0.279965
0.718750,0.741239,0.000997,0.308176
0.781250,0.831354,0.001100,0.331518
0.843750,0.905288,0.001182,0.349339
0.906250,0.959367,0.001241,0.361256
0.968750,0.991524,0.001277,0.367154
1.031250,1.000000,0.001285,0.367169
1.093750,0.985313,0.001268,0.361655
1.156250,0.953361,0.001231,0.351147
1.218750,0.904615,0.001177,0.336317
1.281250,0.842792,0.001109,0.317928
1.343750,0.772615,0.001032,0.296788
1.406250,0.695879,0.000949,0.273710
1.468750,0.617683,0.000863,0.249473
1.531250,0.542062,0.000779,0.224797
1.593750,0.470121,0.000699,0.200316
1.656250,0.402578,0.000623,0.176567
1.718750,0.341428,0.000553,0.153984
1.781250,0.287299,0.000491,0.132892
1.843750,0.240662,0.000436,0.113516
1.906250,0.200572,0.000387,0.095990
1.968750,0.168113,0.000346,0.080365
2.031250,0.140835,0.000310,0.066625
2.093750,0.118397,0.000279,0.054701
2.156250,0.100817,0.000254,0.044482
2.218750,0.086997,0.000233,0.035830
2.281250,0.075906,0.000216,0.028591
2.343750,0.066920,0.000201,0.022603
2.406250,0.060769,0.000191,0.017705
2.468750,0.055064,0.000181,0.013742
2.531250,0.051222,0.000174,0.010569
2.593750,0.047944,0.000168,0.008056
2.656250,0.045130,0.000163,0.006086
2.718750,0.042925,0.000159,0.004556
2.781250,0.041196,0.000156,0.003381
2.843750,0.039443,0.000152,0.002487
2.906250,0.038275,0.000149,0.001813
2.968750,0.037107,0.000147,0.001311
3.031250,0.035987,0.000145,0.000939
3.093750,0.035117,0.000143,0.000667
3.156250,0.034195,0.000141,0.000470
3.218750,0.033404,0.000140,0.000328
3.281250,0.032261,0.000137,0.000227
3.343750,0.031628,0.000136,0.000156
3.406250,0.030755,0.000134,0.000106
3.468750,0.030567,0.000133,0.000072
3.531250,0.029601,0.000131,0.000048
3.593750,0.029217,0.000130,0.000032
3.656250,0.028204,0.000128,0.000021
3.718750,0.027668,0.000127,0.000014
3.781250,0.027220,0.000126,0.000009
3.843750,0.026880,0.000125,0.000006
3.906250,0.026331,0.000124,0.000004
3.968750,0.026218,0.000123,0.000002
4.031250,0.025479,0.000121,0.000001
4.093750,0.024893,0.000120,0.000001
4.156250,0.024418,0.000119,0.000001
4.218750,0.024267,0.000118,0.000000
4.281250,0.023688,0.000117,0.000000
4.343750,0.023416,0.000116,0.000000
4.406250,0.022928,0.000115,0.000000
4.468750,0.022654,0.000114,0.000000
4.531250,0.022382,0.000114,0.000000
4.593750,0.021967,0.000113,0.000000
4.656250,0.021841,0.000112,0.000000
4.718750,0.021252,0.000111,0.000000
4.781250,0.021073,0.000110,0.000000
4.843750,0.020797,0.000109,0.000000
4.906250,0.020412,0.000108,0.000000
4.968750,0.020409,0.000108,0.000000
5.031250,0.020155,0.000108,0.000000
5.093750,0.019760,0.000107,0.000000
5.156250,0.019465,0.000106,0.000000
5.218750,0.019248,0.000105,0.000000
5.281250,0.018994,0.000105,0.000000
5.343750,0.018810,0.000104,0.000000
5.406250,0.018459,0.000103,0.000000
5.468750,0.018179,0.000102,0.000000
5.531250,0.018002,0.000102,0.000000
5.593750,0.017778,0.000101,0.000000
5.656250,0.017680,0.000101,0.000000
5.718750,0.017288,0.000100,0.000000
5.781250,0.017357,0.000100,0.000000
5.843750,0.017102,0.000099,0.000000
5.906250,0.016851,0.000098,0.000000
5.968750,0.016770,0.000098,0.000000
6.031250,0.016462,0.000097,0.000000
6.093750,0.016428,0.000097,0.000000
6.156250,0.016051,0.000096,0.000000
6.218750,0.016098,0.000096,0.000000
6.281250,0.015777,0.000095,0.000000
6.343750,0.015595,0.000095,0.000000
6.406250,0.015590,0.000095,0.000000
6.468750,0.015354,0.000094,0.000000
6.531250,0.015100,0.000093,0.000000
6.593750,0.015066,0.000093,0.000000
6.656250,0.014920,0.000093,0.000000
6.718750,0.014722,0.000092,0.000000
6.781250,0.014671,0.000092,0.000000
6.843750,0.014498,0.000092,0.000000
6.906250,0.014415,0.000091,0.000000
6.968750,0.014341,0.000091,0.000000
7.031250,0.014084,0.000090,0.000000
7.093750,0.014040,0.000090,0.000000
7.156250,0.013824,0.000089,0.000000
7.218750,0.013864,0.000089,0.000000
7.281250,0.013597,0.000089,0.000000
7.343750,0.013519,0.000088,0.000000
7.406250,0.013483,0.000088,0.000000
7.468750,0.013329,0.000087,0.000000
7.531250,0.013220,0.000087,0.000000
7.593750,0.012933,0.000086,0.000000
7.656250,0.013040,0.000087,0.000000
7.718750,0.012773,0.000086,0.000000
7.781250,0.012679,0.000085,0.000000
7.843750,0.012545,0.000085,0.000000
7.906250,0.012339,0.000084,0.000000
7.968750,0.012352,0.000084,0.000000
8.031250,0.012219,0.000084,0.000000
8.093750,0.012365,0.000084,0.000000
8.156250,0.012113,0.000083,0.000000
8.218750,0.012004,0.000083,0.000000
8.281250,0.011929,0.000083,0.000000
8.343750,0.011904,0.000083,0.000000
8.406250,0.011947,0.000083,0.000000
8.468750,0.011559,0.000081,0.000000
8.531250,0.011612,0.000082,0.000000
8.593750,0.011492,0.000081,0.000000
8.656250,0.011360,0.000081,0.000000
8.718750,0.011314,0.000081,0.000000
8.781250,0.011338,0.000081,0.000000
8.843750,0.011019,0.000080,0.000000
8.906250,0.011153,0.000080,0.000000
8.968750,0.011071,0.000080,0.000000
9.031250,0.010913,0.000079,0.000000
9.093750,0.010904,0.000079,0.000000
9.156250,0.010756,0.000079,0.000000
9.218750,0.010689,0.000078,0.000000
9.281250,0.010586,0.000078,0.000000
9.343750,0.010502,0.000078,0.000000
9.406250,0.010406,0.000077,0.000000
9.468750,0.010384,0.000077,0.000000
9.531250,0.010248,0.000077,0.000000
9.593750,0.010226,0.000077,0.000000
9.656250,0.010213,0.000077,0.000000
9.718750,0.010101,0.000076,0.000000
9.781250,0.009921,0.000075,0.000000
9.843750,0.009910,0.000076,0.000000
9.906250,0.009984,0.000076,0.000000
9.968750,0.009834,0.000075,0.000000
10.031250,0.009858,0.000075,0.000000
10.093750,0.009793,0.000075,0.000000
10.156250,0.009668,0.000074,0.000000
10.218750,0.009607,0.000074,0.000000
10.281250,0.009524,0.000074,0.000000
10.343750,0.009339,0.000073,0.000000
10.406250,0.009381,0.000073,0.000000
10.468750,0.009300,0.000073,0.000000
10.531250,0.009382,0.000073,0.000000
