y,flux,flux_err,mb_flux
0.031250,0.000136,0.000007,0.000976
0.093750,0.002707,0.000051,0.008712
0.156250,0.012003,0.000139,0.023825
0.218750,0.031413,0.000270,0.045616
0.281250,0.065058,0.000444,0.073086
0.343750,0.111223,0.000645,0.104995
0.406250,0.174128,0.000879,0.139930
0.468750,0.250230,0.001138,0.176383
0.531250,0.334920,0.001400,0.212828
0.593750,0.431258,0.001670,0.247800
0.656250,0.534035,0.001942,0.279965
0.718750,0.629851,0.002190,0.308176
0.781250,0.723244,0.002421,0.331518
0.843750,0.806341,0.002621,0.349339
0.906250,0.875647,0.002790,0.361256
0.968750,0.930368,0.002914,0.367154
1.031250,0.968112,0.003007,0.367169
1.093750,0.995341,0.003081,0.361655
1.156250,1.000000,0.003100,0.351147
1.218750,0.995304,0.003107,0.336317
1.281250,0.976169,0.003076,0.317928
1.343750,0.940326,0.003018,0.296788
1.406250,0.911467,0.002972,0.273710
1.468750,0.863884,0.002883,0.249473
1.531250,0.816234,0.002794,0.224797
1.593750,0.766166,0.002705,0.200316
1.656250,0.718395,0.002617,0.176567
1.718750,0.666972,0.002511,0.153984
1.781250,0.628292,0.002434,0.132892
1.843750,0.586492,0.002347,0.113516
1.906250,0.550523,0.002270,0.095990
1.968750,0.518198,0.002199,0.080365
2.031250,0.485314,0.002120,0.066625
2.093750,0.461674,0.002068,0.054701
2.156250,0.440747,0.002018,0.044482
2.218750,0.422271,0.001979,0.035830
2.281250,0.407197,0.001937,0.028591
2.343750,0.388706,0.001900,0.022603
2.406250,0.376108,0.001862,0.017705
2.468750,0.367757,0.001846,0.013742
2.531250,0.354595,0.001809,0.010569
2.593750,0.344800,0.001787,0.008056
2.656250,0.334990,0.001757,0.006086
2.718750,0.331096,0.001750,0.004556
2.781250,0.323854,0.001731,0.003381
2.843750,0.315476,0.001707,0.002487
2.906250,0.306997,0.001687,0.001813
2.968750,0.301824,0.001674,0.001311
3.031250,0.294929,0.001653,0.000939
3.093750,0.290395,0.001638,0.000667
3.156250,0.286429,0.001628,0.000470
3.218750,0.285121,0.001627,0.000328
3.281250,0.275328,0.001599,0.000227
3.343750,0.273162,0.001590,0.000156
3.406250,0.269617,0.001581,0.000106
3.468750,0.260906,0.001552,0.000072
3.531250,0.255691,0.001539,0.000048
3.593750,0.254317,0.001534,0.000032
3.656250,0.252696,0.001532,0.000021
3.718750,0.246456,0.001510,0.000014
3.781250,0.244931,0.001505,0.000009
3.843750,0.243178,0.001499,0.000006
3.906250,0.237331,0.001482,0.000004
3.968750,0.234636,0.001474,0.000002
4.031250,0.230552,0.001461,0.000001
4.093750,0.229223,0.001457,0.000001
4.156250,0.224063,0.001441,0.000001
4.218750,0.222122,0.001434,0.000000
4.281250,0.220534,0.001432,0.000000
4.343750,0.218181,0.001420,0.000000
4.406250,0.215278,0.001415,0.000000
4.468750,0.211311,0.001403,0.000000
4.531250,0.209181,0.001394,0.000000
4.593750,0.206674,0.001384,0.000000
4.656250,0.204985,0.001378,0.000000
4.718750,0.201788,0.001367,0.000000
4.781250,0.202083,0.001365,0.000000
4.843750,0.196267,0.001350,0.000000
4.906250,0.196590,0.001350,0.000000
4.968750,0.194680,0.001344,0.000000
5.031250,0.192857,0.001338,0.000000
5.093750,0.187337,0.001319,0.000000
5.156250,0.188765,0.001322,0.000000
5.218750,0.186895,0.001317,0.000000
5.281250,0.186104,0.001314,0.000000
5.343750,0.183556,0.001300,0.000000
5.406250,0.179697,0.001291,0.000000
5.468750,0.177707,0.001286,0.000000
5.531250,0.179315,0.001289,0.000000
5.593750,0.176374,0.001280,0.000000
5.656250,0.175205,0.001275,0.000000
5.718750,0.172287,0.001265,0.000000
5.781250,0.170668,0.001258,0.000000
5.843750,0.169958,0.001255,0.000000
5.906250,0.166305,0.001241,0.000000
5.968750,0.166401,0.001242,0.000000
6.031250,0.162999,0.001227,0.000000
6.093750,0.164086,0.001232,0.000000
6.156250,0.164744,0.001238,0.000000
6.218750,0.159861,0.001220,0.000000
6.281250,0.159213,0.001214,0.000000
6.343750,0.157425,0.001209,0.000000
6.406250,0.158107,0.001212,0.000000
6.468750,0.153572,0.001194,0.000000
6.531250,0.151771,0.001184,0.000000
6.593750,0.152878,0.001189,0.000000
6.656250,0.148722,0.001174,0.000000
6.718750,0.148605,0.001172,0.000000
6.781250,0.147968,0.001171,0.000000
6.843750,0.145989,0.001163,0.000000
6.906250,0.147039,0.001167,0.000000
6.968750,0.142757,0.001150,0.000000
7.031250,0.143404,0.001152,0.000000
7.093750,0.143494,0.001153,0.000000
7.156250,0.141154,0.001144,0.000000
7.218750,0.139946,0.001137,0.000000
7.281250,0.140528,0.001141,0.000000
7.343750,0.139547,0.001137,0.000000
7.406250,0.137981,0.001129,0.000000
7.468750,0.134294,0.001115,0.000000
7.531250,0.136272,0.001122,0.000000
7.593750,0.135956,0.001121,0.000000
7.656250,0.133930,0.001113,0.000000
7.718750,0.132672,0.001107,0.000000
7.781250,0.131038,0.001101,0.000000
7.843750,0.132037,0.001106,0.000000
7.906250,0.128711,0.001089,0.000000
7.968750,0.129691,0.001095,0.000000
8.031250,0.128083,0.001087,0.000000
8.093750,0.124782,0.001075,0.000000
8.156250,0.126063,0.001081,0.000000
8.218750,0.123612,0.001068,0.000000
8.281250,0.122798,0.001065,0.000000
8.343750,0.123301,0.001069,0.000000
8.406250,0.122102,0.001061,0.000000
8.468750,0.120637,0.001056,0.000000
8.531250,0.121478,0.001059,0.000000
8.593750,0.118805,0.001048,0.000000
8.656250,0.120030,0.001054,0.000000
8.718750,0.117520,0.001042,0.000000
8.781250,0.116631,0.001039,0.000000
8.843750,0.114826,0.001028,0.000000
8.906250,0.117524,0.001042,0.000000
8.968750,0.115956,0.001036,0.000000
9.031250,0.113756,0.001025,0.000000
9.093750,0.112993,0.001022,0.000000
9.156250,0.113604,0.001022,0.000000
9.218750,0.112301,0.001020,0.000000
9.281250,0.112215,0.001017,0.000000
9.343750,0.109858,0.001007,0.000000
9.406250,0.111091,0.001016,0.000000
9.468750,0.110840,0.001011,0.000000
9.531250,0.109096,0.001004,0.000000
9.593750,0.107956,0.001000,0.000000
9.656250,0.108593,0.001003,0.000000
9.718750,0.108717,0.001001,0.000000
9.781250,0.107092,0.000994,0.000000
9.843750,0.106748,0.000995,0.000000
9.906250,0.106881,0.000995,0.000000
9.968750,0.104861,0.000985,0.000000
10.031250,0.103097,0.000974,0.000000
10.093750,0.102900,0.000973,0.000000
10.156250,0.103225,0.000976,0.000000
10.218750,0.100874,0.000965,0.000000
10.281250,0.103306,0.000976,0.000000
10.343750,0.102558,0.000975,0.000000
10.406250,0.099529,0.000960,0.000000
10.468750,0.100458,0.000963,0.000000
10.531250,0.099069,0.000956,0.000000
10.593750,0.099686,0.000960,0.000000
10.656250,0.098077,0.000952,0.000000
10.718750,0.097448,0.000948,0.000000
10.781250,0.098432,0.000953,0.000000
10.843750,0.098609,0.000953,0.000000
10.906250,0.096293,0.000942,0.000000
10.968750,0.095847,0.000940,0.000000
11.031250,0.096748,0.000946,0.000000
