y,flux,flux_err,mb_flux
0.031250,0.000160,0.000005,0.000976
0.093750,0.003094,0.000035,0.008712
0.156250,0.013852,0.000098,0.023825
0.218750,0.036343,0.000192,0.045616
0.281250,0.074453,0.000315,0.073086
0.343750,0.128983,0.000466,0.104995
0.406250,0.199923,0.000640,0.139930
0.468750,0.284348,0.000828,0.176383
0.531250,0.379902,0.001025,0.212828
0.593750,0.484400,0.001229,0.247800
0.656250,0.591656,0.001426,0.279965
0.718750,0.690851,0.001606,0.308176
0.781250,0.783250,0.001771,0.331518
0.843750,0.860273,0.001900,0.349339
0.906250,0.923459,0.002012,0.361256
0.968750,0.967480,0.002089,0.367154
1.031250,0.990698,0.002134,0.367169
1.093750,1.000000,0.002157,0.361655
1.156250,0.984782,0.002142,0.351147
1.218750,0.956199,0.002104,0.336317
1.281250,0.915647,0.002051,0.317928
1.343750,0.861623,0.001979,0.296788
1.406250,0.806798,0.001902,0.273710
1.468750,0.740224,0.001807,0.249473
1.531250,0.674573,0.001711,0.224797
1.593750,0.615163,0.001619,0.200316
1.656250,0.553737,0.001526,0.176567
1.718750,0.498001,0.001438,0.153984
1.781250,0.449650,0.001358,0.132892
1.843750,0.405175,0.001281,0.113516
1.906250,0.364536,0.001207,0.095990
1.968750,0.330558,0.001149,0.080365
2.031250,0.300639,0.001088,0.066625
2.093750,0.276510,0.001043,0.054701
2.156250,0.256254,0.001000,0.044482
2.218750,0.237530,0.000963,0.035830
2.281250,0.223244,0.000931,0.028591
2.343750,0.211683,0.000908,0.022603
2.406250,0.200163,0.000880,0.017705
2.468750,0.192835,0.000864,0.013742
2.531250,0.183119,0.000840,0.010569
2.593750,0.178487,0.000831,0.008056
2.656250,0.172306,0.000816,0.006086
2.718750,0.166905,0.000804,0.004556
2.781250,0.162455,0.000792,0.003381
2.843750,0.157931,0.000783,0.002487
2.906250,0.153852,0.000772,0.001813
2.968750,0.149675,0.000761,0.001311
3.031250,0.145810,0.000752,0.000939
3.093750,0.142325,0.000743,0.000667
3.156250,0.139791,0.000736,0.000470
3.218750,0.137579,0.000729,0.000328
3.281250,0.133213,0.000719,0.000227
3.343750,0.132409,0.000716,0.000156
3.406250,0.130379,0.000710,0.000106
3.468750,0.126015,0.000698,0.000072
3.531250,0.124842,0.000695,0.000048
3.593750,0.123029,0.000691,0.000032
3.656250,0.120607,0.000685,0.000021
3.718750,0.118702,0.000678,0.000014
3.781250,0.116353,0.000672,0.000009
3.843750,0.113782,0.000664,0.000006
3.906250,0.113561,0.000663,0.000004
3.968750,0.111628,0.000658,0.000002
4.031250,0.110326,0.000654,0.000001
4.093750,0.108352,0.000647,0.000001
4.156250,0.105112,0.000638,0.000001
4.218750,0.104502,0.000635,0.000000
4.281250,0.103722,0.000635,0.000000
4.343750,0.101771,0.000627,0.000000
4.406250,0.099872,0.000623,0.000000
4.468750,0.099018,0.000620,0.000000
4.531250,0.098211,0.000617,0.000000
4.593750,0.097371,0.000614,0.000000
4.656250,0.094849,0.000606,0.000000
4.718750,0.093874,0.000604,0.000000
4.781250,0.093596,0.000602,0.000000
4.843750,0.091858,0.000596,0.000000
4.906250,0.091143,0.000595,0.000000
4.968750,0.090084,0.000591,0.000000
5.031250,0.088724,0.000587,0.000000
5.093750,0.086468,0.000580,0.000000
5.156250,0.087206,0.000581,0.000000
5.218750,0.086254,0.000577,0.000000
5.281250,0.084598,0.000572,0.000000
5.343750,0.084222,0.000570,0.000000
5.406250,0.082479,0.000566,0.000000
5.468750,0.080555,0.000560,0.000000
5.531250,0.080792,0.000560,0.000000
5.593750,0.081462,0.000563,0.000000
5.656250,0.079474,0.000556,0.000000
5.718750,0.078121,0.000550,0.000000
5.781250,0.077871,0.000550,0.000000
5.843750,0.076885,0.000546,0.000000
5.906250,0.075620,0.000542,0.000000
5.968750,0.074853,0.000538,0.000000
6.031250,0.074764,0.000539,0.000000
6.093750,0.075625,0.000542,0.000000
6.156250,0.073571,0.000534,0.000000
6.218750,0.072054,0.000530,0.000000
6.281250,0.071807,0.000528,0.000000
6.343750,0.071162,0.000526,0.000000
6.406250,0.070696,0.000523,0.000000
6.468750,0.069661,0.000520,0.000000
6.531250,0.069160,0.000518,0.000000
6.593750,0.068165,0.000514,0.000000
6.656250,0.067973,0.000513,0.000000
6.718750,0.067275,0.000510,0.000000
6.781250,0.066708,0.000509,0.000000
6.843750,0.066086,0.000506,0.000000
6.906250,0.065800,0.000506,0.000000
6.968750,0.064608,0.000501,0.000000
7.031250,0.064558,0.000500,0.000000
7.093750,0.064765,0.000501,0.000000
7.156250,0.063308,0.000495,0.000000
7.218750,0.062485,0.000492,0.000000
7.281250,0.063027,0.000494,0.000000
7.343750,0.061692,0.000489,0.000000
7.406250,0.062065,0.000490,0.000000
7.468750,0.060855,0.000485,0.000000
7.531250,0.060608,0.000484,0.000000
7.593750,0.060748,0.000484,0.000000
7.656250,0.059131,0.000478,0.000000
7.718750,0.059030,0.000478,0.000000
7.781250,0.058786,0.000477,0.000000
7.843750,0.059354,0.000479,0.000000
7.906250,0.056898,0.000468,0.000000
7.968750,0.057549,0.000471,0.000000
8.031250,0.056647,0.000468,0.000000
8.093750,0.055514,0.000464,0.000000
8.156250,0.056012,0.000466,0.000000
8.218750,0.055488,0.000463,0.000000
8.281250,0.054213,0.000458,0.000000
8.343750,0.054948,0.000461,0.000000
8.406250,0.054627,0.000460,0.000000
8.468750,0.052976,0.000452,0.000000
8.531250,0.053879,0.000457,0.000000
8.593750,0.052580,0.000451,0.000000
8.656250,0.053519,0.000455,0.000000
8.718750,0.052112,0.000448,0.000000
8.781250,0.052387,0.000450,0.000000
8.843750,0.051114,0.000444,0.000000
8.906250,0.052037,0.000449,0.000000
8.968750,0.051067,0.000444,0.000000
9.031250,0.049422,0.000436,0.000000
9.093750,0.050118,0.000440,0.000000
9.156250,0.049833,0.000438,0.000000
9.218750,0.049970,0.000441,0.000000
9.281250,0.048750,0.000434,0.000000
9.343750,0.049029,0.000435,0.000000
9.406250,0.048444,0.000433,0.000000
9.468750,0.048451,0.000432,0.000000
