y,flux,flux_err,mb_flux
0.031250,0.000071,0.000003,0.000976
0.093750,0.001543,0.000027,0.008712
0.156250,0.007115,0.000076,0.023825
0.218750,0.019372,0.000148,0.045616
0.281250,0.040493,0.000238,0.073086
0.343750,0.072655,0.000349,0.104995
0.406250,0.117955,0.000482,0.139930
0.468750,0.174455,0.000624,0.176383
0.531250,0.242240,0.000777,0.212828
0.593750,0.320675,0.000935,0.247800
0.656250,0.406118,0.001094,0.279965
0.718750,0.496061,0.001248,0.308176
0.781250,0.585722,0.001391,0.331518
0.843750,0.674736,0.001524,0.349339
0.906250,0.755462,0.001630,0.361256
0.968750,0.828964,0.001724,0.367154
1.031250,0.885673,0.001783,0.367169
1.093750,0.935123,0.001826,0.361655
1.156250,0.972066,0.001847,0.351147
1.218750,0.992876,0.001847,0.336317
1.281250,1.000000,0.001825,0.317928
1.343750,0.998190,0.001789,0.296788
1.406250,0.983431,0.001737,0.273710
1.468750,0.962137,0.001678,0.249473
1.531250,0.932620,0.001610,0.224797
1.593750,0.898050,0.001541,0.200316
1.656250,0.863442,0.001471,0.176567
1.718750,0.825363,0.001398,0.153984
1.781250,0.786633,0.001331,0.132892
1.843750,0.749395,0.001265,0.113516
1.906250,0.714027,0.001203,0.095990
1.968750,0.678396,0.001143,0.080365
2.031250,0.646551,0.001091,0.066625
2.093750,0.618047,0.001045,0.054701
2.156250,0.590103,0.000998,0.044482
2.218750,0.566005,0.000960,0.035830
2.281250,0.544046,0.000925,0.028591
2.343750,0.524220,0.000894,0.022603
2.406250,0.504776,0.000864,0.017705
2.468750,0.487800,0.000836,0.013742
2.531250,0.473377,0.000814,0.010569
2.593750,0.458392,0.000792,0.008056
2.656250,0.445471,0.000771,0.006086
2.718750,0.432923,0.000752,0.004556
2.781250,0.422772,0.000736,0.003381
2.843750,0.411545,0.000720,0.002487
2.906250,0.402911,0.000706,0.001813
2.968750,0.393072,0.000691,0.001311
3.031250,0.384495,0.000678,0.000939
3.093750,0.376809,0.000668,0.000667
3.156250,0.369378,0.000656,0.000470
3.218750,0.360843,0.000643,0.000328
3.281250,0.353665,0.000633,0.000227
3.343750,0.347014,0.000623,0.000156
3.406250,0.340170,0.000614,0.000106
3.468750,0.335556,0.000607,0.000072
3.531250,0.330056,0.000598,0.000048
3.593750,0.323807,0.000590,0.000032
3.656250,0.318772,0.000582,0.000021
3.718750,0.312803,0.000573,0.000014
3.781250,0.307252,0.000567,0.000009
3.843750,0.302886,0.000560,0.000006
3.906250,0.299299,0.000555,0.000004
3.968750,0.294171,0.000547,0.000002
4.031250,0.289884,0.000541,0.000001
4.093750,0.285528,0.000534,0.000001
4.156250,0.281527,0.000530,0.000001
4.218750,0.277218,0.000523,0.000000
4.281250,0.272862,0.000517,0.000000
4.343750,0.269687,0.000513,0.000000
4.406250,0.266240,0.000509,0.000000
4.468750,0.263379,0.000504,0.000000
4.531250,0.259016,0.000498,0.000000
4.593750,0.256054,0.000494,0.000000
4.656250,0.252371,0.000490,0.000000
4.718750,0.249846,0.000485,0.000000
4.781250,0.246556,0.000481,0.000000
4.843750,0.243543,0.000477,0.000000
4.906250,0.240623,0.000474,0.000000
4.968750,0.237633,0.000470,0.000000
5.031250,0.234268,0.000464,0.000000
5.093750,0.231505,0.000461,0.000000
5.156250,0.229290,0.000457,0.000000
5.218750,0.226535,0.000454,0.000000
5.281250,0.224206,0.000451,0.000000
5.343750,0.222129,0.000448,0.000000
5.406250,0.220655,0.000445,0.000000
5.468750,0.216913,0.000441,0.000000
5.531250,0.214610,0.000438,0.000000
5.593750,0.213104,0.000436,0.000000
5.656250,0.210885,0.000433,0.000000
5.718750,0.208820,0.000430,0.000000
5.781250,0.206793,0.000428,0.000000
5.843750,0.203614,0.000423,0.000000
5.906250,0.202249,0.000422,0.000000
5.968750,0.199343,0.000417,0.000000
6.031250,0.198608,0.000417,0.000000
6.093750,0.196584,0.000414,0.000000
6.156250,0.194165,0.000411,0.000000
6.218750,0.192276,0.000409,0.000000
6.281250,0.191053,0.000407,0.000000
6.343750,0.189302,0.000404,0.000000
6.406250,0.187248,0.000402,0.000000
6.468750,0.185497,0.000399,0.000000
6.531250,0.184789,0.000398,0.000000
6.593750,0.182057,0.000394,0.000000
6.656250,0.180996,0.000393,0.000000
6.718750,0.179141,0.000391,0.000000
6.781250,0.177830,0.000389,0.000000
6.843750,0.176159,0.000387,0.000000
6.906250,0.175077,0.000386,0.000000
6.968750,0.173161,0.000383,0.000000
7.031250,0.172451,0.000382,0.000000
7.093750,0.170672,0.000380,0.000000
7.156250,0.169232,0.000378,0.000000
7.218750,0.167749,0.000376,0.000000
7.281250,0.166168,0.000374,0.000000
7.343750,0.164416,0.000371,0.000000
7.406250,0.164517,0.000371,0.000000
7.468750,0.162599,0.000369,0.000000
7.531250,0.161135,0.000367,0.000000
7.593750,0.160057,0.000366,0.000000
7.656250,0.158913,0.000365,0.000000
7.718750,0.157594,0.000363,0.000000
7.781250,0.155959,0.000360,0.000000
7.843750,0.154574,0.000359,0.000000
7.906250,0.154477,0.000358,0.000000
7.968750,0.153259,0.000357,0.000000
8.031250,0.151699,0.000354,0.000000
8.093750,0.151120,0.000354,0.000000
8.156250,0.149806,0.000352,0.000000
8.218750,0.148713,0.000351,0.000000
8.281250,0.146811,0.000348,0.000000
8.343750,0.146598,0.000348,0.000000
8.406250,0.145844,0.000347,0.000000
8.468750,0.144264,0.000344,0.000000
8.531250,0.143620,0.000344,0.000000
8.593750,0.142850,0.000342,0.000000
8.656250,0.141587,0.000341,0.000000
8.718750,0.140245,0.000340,0.000000
8.781250,0.139015,0.000338,0.000000
8.843750,0.139481,0.000338,0.000000
8.906250,0.136909,0.000335,0.000000
8.968750,0.136853,0.000335,0.000000
9.031250,0.135844,0.000333,0.000000
9.093750,0.135499,0.000333,0.000000
9.156250,0.133734,0.000331,0.000000
9.218750,0.134359,0.000331,0.000000
9.281250,0.132849,0.000329,0.000000
9.343750,0.131273,0.000328,0.000000
9.406250,0.131087,0.000327,0.000000
9.468750,0.129867,0.000325,0.000000
9.531250,0.129521,0.000325,0.000000
9.593750,0.128465,0.000324,0.000000
9.656250,0.127611,0.000322,0.000000
9.718750,0.127234,0.000322,0.000000
9.781250,0.126525,0.000321,0.000000
9.843750,0.124940,0.000319,0.000000
9.906250,0.125267,0.000319,0.000000
9.968750,0.123546,0.000316,0.000000
10.031250,0.123281,0.000317,0.000000
10.093750,0.122586,0.000316,0.000000
10.156250,0.122291,0.000314,0.000000
10.218750,0.121303,0.000313,0.000000
10.281250,0.120520,0.000313,0.000000
10.343750,0.119758,0.000311,0.000000
10.406250,0.119064,0.000310,0.000000
10.468750,0.117983,0.000309,0.000000
10.531250,0.117861,0.000309,0.000000
10.593750,0.116698,0.000307,0.000000
10.656250,0.116026,0.000306,0.000000
10.718750,0.116069,0.000306,0.000000
10.781250,0.114895,0.000305,0.000000
10.843750,0.114505,0.000304,0.000000
10.906250,0.113734,0.000303,0.000000
10.968750,0.113262,0.000302,0.000000
11.031250,0.113076,0.000302,0.000000
11.093750,0.112543,0.000301,0.000000
11.156250,0.111753,0.000300,0.000000
11.218750,0.111397,0.000300,0.000000
11.281250,0.109993,0.000298,0.000000
11.343750,0.110049,0.000299,0.000000
11.406250,0.109202,0.000297,0.000000
11.468750,0.108374,0.000296,0.000000
11.531250,0.107930,0.000295,0.000000
11.593750,0.107293,0.000294,0.000000
11.656250,0.106920,0.000293,0.000000
11.718750,0.106510,0.000293,0.000000
11.781250,0.105928,0.000292,0.000000
11.843750,0.105586,0.000292,0.000000
11.906250,0.104746,0.000290,0.000000
11.968750,0.104373,0.000289,0.000000
12.031250,0.103788,0.000289,0.000000
12.093750,0.102187,0.000287,0.000000
12.156250,0.102123,0.000286,0.000000
12.218750,0.102193,0.000287,0.000000
12.281250,0.101474,0.000285,0.000000
12.343750,0.101285,0.000285,0.000000
12.406250,0.100497,0.000284,0.000000
12.468750,0.100446,0.000284,0.000000
12.531250,0.100107,0.000284,0.000000
12.593750,0.099320,0.000283,0.000000
12.656250,0.099124,0.000282,0.000000
12.718750,0.098553,0.000281,0.000000
12.781250,0.097998,0.000280,0.000000
12.843750,0.097353,0.000279,0.000000
12.906250,0.097132,0.000279,0.000000
12.968750,0.096543,0.000278,0.000000
13.031250,0.096082,0.000278,0.000000
13.093750,0.095819,0.000277,0.000000
13.156250,0.095398,0.000276,0.000000
13.218750,0.095014,0.000276,0.000000
13.281250,0.094267,0.000275,0.000000
13.343750,0.094071,0.000274,0.000000
13.406250,0.093404,0.000274,0.000000
13.468750,0.093190,0.000273,0.000000
13.531250,0.092749,0.000273,0.000000
13.593750,0.092366,0.000272,0.000000
13.656250,0.091462,0.000271,0.000000
13.718750,0.091029,0.000270,0.000000
13.781250,0.091180,0.000270,0.000000
13.843750,0.091212,0.000270,0.000000
13.906250,0.090159,0.000269,0.000000
13.968750,0.089844,0.000268,0.000000
14.031250,0.089264,0.000267,0.000000
14.093750,0.089297,0.000267,0.000000
14.156250,0.089195,0.000267,0.000000
14.218750,0.088582,0.000266,0.000000
14.281250,0.088189,0.000266,0.000000
14.343750,0.087345,0.000265,0.000000
14.406250,0.087080,0.000264,0.000000
14.468750,0.087064,0.000264,0.000000
14.531250,0.086348,0.000263,0.000000
14.593750,0.086363,0.000263,0.000000
14.656250,0.085594,0.000262,0.000000
14.718750,0.085666,0.000262,0.000000
14.781250,0.085074,0.000261,0.000000
14.843750,0.085082,0.000261,0.000000
14.906250,0.085005,0.000261,0.000000
14.968750,0.084380,0.000260,0.000000
15.031250,0.083807,0.000259,0.000000
15.093750,0.083424,0.000258,0.000000
15.156250,0.083115,0.000258,0.000000
15.218750,0.083319,0.000258,0.000000
15.281250,0.082741,0.000257,0.000000
15.343750,0.081913,0.000256,0.000000
15.406250,0.081619,0.000255,0.000000
15.468750,0.081590,0.000255,0.000000
15.531250,0.080753,0.000254,0.000000
15.593750,0.080980,0.000255,0.000000
15.656250,0.080511,0.000254,0.000000
15.718750,0.080533,0.000254,0.000000
15.781250,0.080298,0.000254,0.000000
15.843750,0.079467,0.000252,0.000000
15.906250,0.079501,0.000252,0.000000
15.968750,0.079200,0.000252,0.000000
16.031250,0.079002,0.000251,0.000000
16.093750,0.079236,0.000252,0.000000
16.156250,0.078304,0.000250,0.000000
16.218750,0.077634,0.000249,0.000000
16.281250,0.078246,0.000250,0.000000
16.343750,0.077164,0.000249,0.000000
16.406250,0.076799,0.000247,0.000000
16.468750,0.076838,0.000248,0.000000
16.531250,0.076452,0.000247,0.000000
16.593750,0.076219,0.000247,0.000000
16.656250,0.075637,0.000245,0.000000
16.718750,0.075541,0.000246,0.000000
16.781250,0.075360,0.000245,0.000000
16.843750,0.075336,0.000245,0.000000
16.906250,0.075081,0.000245,0.000000
16.968750,0.075334,0.000246,0.000000
17.031250,0.074514,0.000244,0.000000
17.093750,0.074265,0.000243,0.000000
17.156250,0.073698,0.000243,0.000000
17.218750,0.073896,0.000243,0.000000
17.281250,0.073468,0.000242,0.000000
17.343750,0.073092,0.000241,0.000000
17.406250,0.073089,0.000242,0.000000
17.468750,0.072708,0.000241,0.000000
17.531250,0.072283,0.000240,0.000000
17.593750,0.072036,0.000240,0.000000
17.656250,0.072059,0.000240,0.000000
17.718750,0.071719,0.000239,0.000000
17.781250,0.071640,0.000239,0.000000
17.843750,0.071198,0.000238,0.000000
17.906250,0.070857,0.000238,0.000000
17.968750,0.070916,0.000238,0.000000
18.031250,0.070662,0.000238,0.000000
18.093750,0.070216,0.000237,0.000000
18.156250,0.070173,0.000237,0.000000
18.218750,0.069778,0.000236,0.000000
18.281250,0.069617,0.000236,0.000000
18.343750,0.069447,0.000236,0.000000
18.406250,0.069270,0.000235,0.000000
18.468750,0.069095,0.000235,0.000000
18.531250,0.069107,0.000235,0.000000
18.593750,0.068457,0.000234,0.000000
18.656250,0.068000,0.000233,0.000000
18.718750,0.067889,0.000233,0.000000
18.781250,0.067197,0.000231,0.000000
18.843750,0.067656,0.000232,0.000000
18.906250,0.067198,0.000232,0.000000
18.968750,0.067315,0.000232,0.000000
19.031250,0.066663,0.000231,0.000000
19.093750,0.066552,0.000231,0.000000
19.156250,0.066523,0.000231,0.000000
19.218750,0.066452,0.000230,0.000000
19.281250,0.065883,0.000229,0.000000
19.343750,0.065625,0.000229,0.000000
19.406250,0.065522,0.000229,0.000000
19.468750,0.065880,0.000229,0.000000
19.531250,0.065596,0.000229,0.000000
19.593750,0.065158,0.000228,0.000000
19.656250,0.064891,0.000228,0.000000
19.718750,0.065085,0.000228,0.000000
19.781250,0.064475,0.000227,0.000000
19.843750,0.064487,0.000227,0.000000
19.906250,0.063891,0.000226,0.000000
19.968750,0.063692,0.000226,0.000000
20.031250,0.063956,0.000226,0.000000
20.093750,0.063370,0.000225,0.000000
20.156250,0.063283,0.000225,0.000000
20.218750,0.063009,0.000224,0.000000
20.281250,0.062821,0.000224,0.000000
20.343750,0.062062,0.000222,0.000000
20.406250,0.062361,0.000223,0.000000
20.468750,0.062409,0.000223,0.000000
20.531250,0.061872,0.000222,0.000000
20.593750,0.062041,0.000223,0.000000
