y,flux,flux_err,mb_flux
0.031250,0.000119,0.000003,0.000976
0.093750,0.002521,0.000026,0.008712
0.156250,0.011123,0.000071,0.023825
0.218750,0.029703,0.000139,0.045616
0.281250,0.061355,0.000228,0.073086
0.343750,0.107461,0.000335,0.104995
0.406250,0.169401,0.000460,0.139930
0.468750,0.244247,0.000594,0.176383
0.531250,0.334215,0.000743,0.212828
0.593750,0.429548,0.000887,0.247800
0.656250,0.531390,0.001035,0.279965
0.718750,0.631373,0.001168,0.308176
0.781250,0.725609,0.001286,0.331518
0.843750,0.811585,0.001390,0.349339
0.906250,0.880869,0.001466,0.361256
0.968750,0.936740,0.001521,0.367154
1.031250,0.975678,0.001554,0.367169
1.093750,0.996215,0.001561,0.361655
1.156250,1.000000,0.001547,0.351147
1.218750,0.984926,0.001508,0.336317
1.281250,0.955609,0.001454,0.317928
1.343750,0.917556,0.001392,0.296788
1.406250,0.868826,0.001316,0.273710
1.468750,0.816079,0.001239,0.249473
1.531250,0.759535,0.001158,0.224797
1.593750,0.700448,0.001077,0.200316
1.656250,0.644750,0.000999,0.176567
1.718750,0.589467,0.000923,0.153984
1.781250,0.540270,0.000859,0.132892
1.843750,0.493862,0.000796,0.113516
1.906250,0.451167,0.000740,0.095990
1.968750,0.414123,0.000691,0.080365
2.031250,0.381662,0.000648,0.066625
2.093750,0.353142,0.000610,0.054701
2.156250,0.328568,0.000578,0.044482
2.218750,0.307126,0.000550,0.035830
2.281250,0.288665,0.000525,0.028591
2.343750,0.272950,0.000503,0.022603
2.406250,0.258236,0.000484,0.017705
2.468750,0.246040,0.000468,0.013742
2.531250,0.236883,0.000455,0.010569
2.593750,0.226481,0.000441,0.008056
2.656250,0.218258,0.000431,0.006086
2.718750,0.211766,0.000421,0.004556
2.781250,0.203635,0.000410,0.003381
2.843750,0.198487,0.000404,0.002487
2.906250,0.192756,0.000395,0.001813
2.968750,0.186468,0.000387,0.001311
3.031250,0.182824,0.000381,0.000939
3.093750,0.177968,0.000375,0.000667
3.156250,0.172723,0.000368,0.000470
3.218750,0.169332,0.000363,0.000328
3.281250,0.165181,0.000357,0.000227
3.343750,0.162827,0.000354,0.000156
3.406250,0.158436,0.000348,0.000106
3.468750,0.155634,0.000344,0.000072
3.531250,0.152009,0.000339,0.000048
3.593750,0.149621,0.000335,0.000032
3.656250,0.146734,0.000332,0.000021
3.718750,0.143361,0.000327,0.000014
3.781250,0.141050,0.000324,0.000009
3.843750,0.138484,0.000320,0.000006
3.906250,0.136428,0.000317,0.000004
3.968750,0.134579,0.000315,0.000002
4.031250,0.131490,0.000310,0.000001
4.093750,0.128918,0.000307,0.000001
4.156250,0.127475,0.000304,0.000001
4.218750,0.125614,0.000302,0.000000
4.281250,0.123119,0.000298,0.000000
4.343750,0.121496,0.000296,0.000000
4.406250,0.120315,0.000295,0.000000
4.468750,0.117725,0.000291,0.000000
4.531250,0.116710,0.000289,0.000000
4.593750,0.114901,0.000286,0.000000
4.656250,0.113331,0.000284,0.000000
4.718750,0.111851,0.000282,0.000000
4.781250,0.110277,0.000280,0.000000
4.843750,0.108627,0.000278,0.000000
4.906250,0.107747,0.000276,0.000000
4.968750,0.106063,0.000274,0.000000
5.031250,0.104778,0.000272,0.000000
5.093750,0.103159,0.000270,0.000000
5.156250,0.101849,0.000268,0.000000
5.218750,0.100284,0.000265,0.000000
5.281250,0.098920,0.000263,0.000000
5.343750,0.098259,0.000262,0.000000
5.406250,0.097300,0.000261,0.000000
5.468750,0.096140,0.000259,0.000000
5.531250,0.095426,0.000258,0.000000
5.593750,0.094112,0.000256,0.000000
5.656250,0.092812,0.000254,0.000000
5.718750,0.092154,0.000253,0.000000
5.781250,0.090631,0.000250,0.000000
5.843750,0.089799,0.000250,0.000000
5.906250,0.089046,0.000248,0.000000
5.968750,0.087577,0.000246,0.000000
6.031250,0.087096,0.000246,0.000000
6.093750,0.086409,0.000244,0.000000
6.156250,0.085414,0.000243,0.000000
6.218750,0.084082,0.000241,0.000000
6.281250,0.083407,0.000240,0.000000
6.343750,0.082217,0.000238,0.000000
6.406250,0.081961,0.000237,0.000000
6.468750,0.081238,0.000236,0.000000
6.531250,0.080663,0.000236,0.000000
6.593750,0.079944,0.000235,0.000000
6.656250,0.078940,0.000233,0.000000
6.718750,0.078130,0.000232,0.000000
6.781250,0.077445,0.000230,0.000000
6.843750,0.076438,0.000229,0.000000
6.906250,0.076218,0.000229,0.000000
6.968750,0.075066,0.000227,0.000000
7.031250,0.074169,0.000225,0.000000
7.093750,0.074168,0.000225,0.000000
7.156250,0.073714,0.000225,0.000000
7.218750,0.072854,0.000223,0.000000
7.281250,0.072057,0.000222,0.000000
7.343750,0.071486,0.000221,0.000000
7.406250,0.071298,0.000221,0.000000
7.468750,0.070130,0.000219,0.000000
7.531250,0.069675,0.000218,0.000000
7.593750,0.069332,0.000218,0.000000
7.656250,0.068310,0.000216,0.000000
7.718750,0.067877,0.000215,0.000000
7.781250,0.067578,0.000215,0.000000
7.843750,0.067069,0.000214,0.000000
7.906250,0.066609,0.000213,0.000000
7.968750,0.065755,0.000211,0.000000
8.031250,0.065296,0.000211,0.000000
8.093750,0.064586,0.000210,0.000000
8.156250,0.064276,0.000209,0.000000
8.218750,0.064164,0.000209,0.000000
8.281250,0.063380,0.000208,0.000000
8.343750,0.062564,0.000206,0.000000
8.406250,0.062260,0.000206,0.000000
8.468750,0.062187,0.000206,0.000000
8.531250,0.061331,0.000204,0.000000
8.593750,0.061342,0.000204,0.000000
8.656250,0.060644,0.000203,0.000000
8.718750,0.060284,0.000203,0.000000
8.781250,0.060087,0.000202,0.000000
8.843750,0.059694,0.000202,0.000000
8.906250,0.059075,0.000200,0.000000
8.968750,0.058844,0.000200,0.000000
9.031250,0.058208,0.000199,0.000000
9.093750,0.058259,0.000199,0.000000
9.156250,0.057590,0.000198,0.000000
9.218750,0.057076,0.000197,0.000000
9.281250,0.056816,0.000196,0.000000
9.343750,0.056360,0.000195,0.000000
9.406250,0.056146,0.000195,0.000000
9.468750,0.055816,0.000195,0.000000
9.531250,0.055141,0.000193,0.000000
9.593750,0.054942,0.000193,0.000000
9.656250,0.054907,0.000193,0.000000
9.718750,0.054347,0.000192,0.000000
9.781250,0.054062,0.000191,0.000000
9.843750,0.053501,0.000190,0.000000
9.906250,0.053584,0.000191,0.000000
9.968750,0.053037,0.000189,0.000000
10.031250,0.052389,0.000188,0.000000
10.093750,0.052078,0.000188,0.000000
10.156250,0.051907,0.000187,0.000000
10.218750,0.051653,0.000187,0.000000
10.281250,0.051213,0.000186,0.000000
10.343750,0.050759,0.000185,0.000000
10.406250,0.051060,0.000186,0.000000
10.468750,0.050401,0.000185,0.000000
10.531250,0.050275,0.000184,0.000000
10.593750,0.049454,0.000183,0.000000
10.656250,0.049591,0.000183,0.000000
10.718750,0.049518,0.000183,0.000000
10.781250,0.049105,0.000182,0.000000
10.843750,0.048848,0.000182,0.000000
10.906250,0.048726,0.000182,0.000000
10.968750,0.047948,0.000180,0.000000
11.031250,0.047798,0.000180,0.000000
11.093750,0.047742,0.000180,0.000000
11.156250,0.047428,0.000179,0.000000
11.218750,0.047065,0.000178,0.000000
11.281250,0.046775,0.000178,0.000000
11.343750,0.046888,0.000178,0.000000
11.406250,0.046467,0.000177,0.000000
11.468750,0.045877,0.000176,0.000000
11.531250,0.045819,0.000176,0.000000
11.593750,0.045608,0.000175,0.000000
11.656250,0.045430,0.000175,0.000000
11.718750,0.045231,0.000175,0.000000
11.781250,0.045061,0.000174,0.000000
11.843750,0.044518,0.000173,0.000000
11.906250,0.044249,0.000173,0.000000
11.968750,0.043753,0.000172,0.000000
12.031250,0.043770,0.000172,0.000000
12.093750,0.043919,0.000172,0.000000
12.156250,0.043661,0.000172,0.000000
12.218750,0.043179,0.000171,0.000000
12.281250,0.043230,0.000171,0.000000
12.343750,0.042900,0.000170,0.000000
12.406250,0.042570,0.000169,0.000000
12.468750,0.042225,0.000169,0.000000
12.531250,0.042024,0.000169,0.000000
12.593750,0.041813,0.000168,0.000000
12.656250,0.041860,0.000168,0.000000
12.718750,0.042041,0.000168,0.000000
