y,flux,flux_err,mb_flux
0.031250,0.000172,0.000002,0.000976
0.093750,0.003511,0.000018,0.008712
0.156250,0.015619,0.000050,0.023825
0.218750,0.041393,0.000101,0.045616
0.281250,0.083431,0.000171,0.073086
0.343750,0.144214,0.000261,0.104995
0.406250,0.222577,0.000368,0.139930
0.468750,0.316032,0.000491,0.176383
0.531250,0.420261,0.000619,0.212828
0.593750,0.530839,0.000753,0.247800
0.656250,0.638653,0.000879,0.279965
0.718750,0.743418,0.001001,0.308176
0.781250,0.833836,0.001101,0.331518
0.843750,0.907773,0.001184,0.349339
0.906250,0.960879,0.001243,0.361256
0.968750,0.992521,0.001276,0.367154
1.031250,1.000000,0.001283,0.367169
1.093750,0.988086,0.001271,0.361655
1.156250,0.955253,0.001233,0.351147
1.218750,0.907220,0.001180,0.336317
1.281250,0.845519,0.001111,0.317928
1.343750,0.773507,0.001033,0.296788
1.406250,0.697081,0.000949,0.273710
1.468750,0.618094,0.000863,0.249473
1.531250,0.542999,0.000780,0.224797
1.593750,0.470476,0.000699,0.200316
1.656250,0.402398,0.000621,0.176567
1.718750,0.341213,0.000553,0.153984
1.781250,0.287435,0.000491,0.132892
1.843750,0.239364,0.000433,0.113516
1.906250,0.200565,0.000387,0.095990
1.968750,0.167728,0.000345,0.080365
2.031250,0.139987,0.000309,0.066625
2.093750,0.119056,0.000280,0.054701
2.156250,0.100850,0.000254,0.044482
2.218750,0.086803,0.000233,0.035830
2.281250,0.076148,0.000216,0.028591
2.343750,0.066892,0.000202,0.022603
2.406250,0.060432,0.000191,0.017705
2.468750,0.055171,0.000181,0.013742
2.531250,0.051053,0.000174,0.010569
2.593750,0.047969,0.000168,0.008056
2.656250,0.045452,0.000164,0.006086
2.718750,0.042941,0.000159,0.004556
2.781250,0.041038,0.000155,0.003381
2.843750,0.039597,0.000152,0.002487
2.906250,0.038379,0.000150,0.001813
2.968750,0.037259,0.000148,0.001311
3.031250,0.035529,0.000144,0.000939
3.093750,0.034993,0.000143,0.000667
3.156250,0.034266,0.000141,0.000470
3.218750,0.033044,0.000138,0.000328
3.281250,0.032144,0.000137,0.000227
3.343750,0.031501,0.000135,0.000156
3.406250,0.031118,0.000134,0.000106
3.468750,0.030083,0.000132,0.000072
3.531250,0.029712,0.000131,0.000048
3.593750,0.028944,0.000130,0.000032
3.656250,0.028545,0.000128,0.000021
3.718750,0.027924,0.000127,0.000014
3.781250,0.027216,0.000126,0.000009
3.843750,0.026780,0.000124,0.000006
3.906250,0.026440,0.000124,0.000004
3.968750,0.025994,0.000123,0.000002
4.031250,0.025454,0.000121,0.000001
4.093750,0.025026,0.000120,0.000001
4.156250,0.024658,0.000120,0.000001
4.218750,0.024272,0.000118,0.000000
4.281250,0.023761,0.000117,0.000000
4.343750,0.023618,0.000117,0.000000
4.406250,0.023206,0.000116,0.000000
4.468750,0.022668,0.000114,0.000000
4.531250,0.022061,0.000113,0.000000
4.593750,0.022093,0.000113,0.000000
4.656250,0.021706,0.000112,0.000000
4.718750,0.021445,0.000111,0.000000
4.781250,0.020939,0.000110,0.000000
4.843750,0.020759,0.000110,0.000000
4.906250,0.020655,0.000109,0.000000
4.968750,0.020055,0.000108,0.000000
5.031250,0.019857,0.000107,0.000000
5.093750,0.019812,0.000107,0.000000
5.156250,0.019395,0.000106,0.000000
5.218750,0.019093,0.000105,0.000000
5.281250,0.019052,0.000105,0.000000
5.343750,0.018920,0.000104,0.000000
5.406250,0.018356,0.000103,0.000000
5.468750,0.018190,0.000102,0.000000
5.531250,0.017960,0.000102,0.000000
5.593750,0.017783,0.000101,0.000000
5.656250,0.017661,0.000101,0.000000
5.718750,0.017487,0.000100,0.000000
5.781250,0.017167,0.000099,0.000000
5.843750,0.016868,0.000098,0.000000
5.906250,0.017000,0.000099,0.000000
5.968750,0.016544,0.000098,0.000000
6.031250,0.016564,0.000098,0.000000
6.093750,0.016298,0.000097,0.000000
6.156250,0.016266,0.000097,0.000000
6.218750,0.016060,0.000096,0.000000
6.281250,0.015985,0.000096,0.000000
6.343750,0.015741,0.000095,0.000000
6.406250,0.015610,0.000095,0.000000
6.468750,0.015458,0.000094,0.000000
6.531250,0.015286,0.000094,0.000000
6.593750,0.015047,0.000093,0.000000
6.656250,0.014914,0.000093,0.000000
6.718750,0.014751,0.000092,0.000000
6.781250,0.014654,0.000092,0.000000
6.843750,0.014403,0.000091,0.000000
6.906250,0.014336,0.000091,0.000000
6.968750,0.014021,0.000090,0.000000
7.031250,0.014034,0.000090,0.000000
7.093750,0.013935,0.000090,0.000000
7.156250,0.013729,0.000089,0.000000
7.218750,0.013626,0.000088,0.000000
7.281250,0.013660,0.000089,0.000000
7.343750,0.013553,0.000088,0.000000
7.406250,0.013244,0.000087,0.000000
7.468750,0.013138,0.000087,0.000000
7.531250,0.013238,0.000087,0.000000
7.593750,0.013246,0.000087,0.000000
7.656250,0.012969,0.000086,0.000000
7.718750,0.012697,0.000085,0.000000
7.781250,0.012741,0.000085,0.000000
7.843750,0.012520,0.000085,0.000000
7.906250,0.012463,0.000085,0.000000
7.968750,0.012427,0.000084,0.000000
8.031250,0.012303,0.000084,0.000000
8.093750,0.012190,0.000084,0.000000
8.156250,0.012206,0.000084,0.000000
8.218750,0.012138,0.000083,0.000000
8.281250,0.011956,0.000083,0.000000
8.343750,0.012016,0.000083,0.000000
8.406250,0.011834,0.000082,0.000000
8.468750,0.011827,0.000082,0.000000
8.531250,0.011549,0.000081,0.000000
8.593750,0.011541,0.000081,0.000000
8.656250,0.011317,0.000081,0.000000
8.718750,0.011395,0.000081,0.000000
8.781250,0.011158,0.000080,0.000000
8.843750,0.011295,0.000081,0.000000
8.906250,0.011030,0.000080,0.000000
8.968750,0.011012,0.000080,0.000000
9.031250,0.011063,0.000080,0.000000
9.093750,0.010842,0.000079,0.000000
9.156250,0.010878,0.000079,0.000000
9.218750,0.010813,0.000079,0.000000
9.281250,0.010578,0.000078,0.000000
9.343750,0.010564,0.000078,0.000000
9.406250,0.010576,0.000078,0.000000
9.468750,0.010292,0.000077,0.000000
9.531250,0.010320,0.000077,0.000000
9.593750,0.010347,0.000077,0.000000
9.656250,0.010262,0.000077,0.000000
9.718750,0.010116,0.000076,0.000000
9.781250,0.010005,0.000076,0.000000
9.843750,0.010012,0.000076,0.000000
9.906250,0.009975,0.000076,0.000000
9.968750,0.009820,0.000075,0.000000
10.031250,0.009828,0.000075,0.000000
10.093750,0.009801,0.000075,0.000000
10.156250,0.009707,0.000075,0.000000
10.218750,0.009573,0.000074,0.000000
10.281250,0.009629,0.000074,0.000000
10.343750,0.009472,0.000074,0.000000
10.406250,0.009499,0.000074,0.000000
10.468750,0.009347,0.000073,0.000000
10.531250,0.009349,0.000073,0.000000
10.593750,0.009367,0.000073,0.000000
10.656250,0.009205,0.000073,0.000000
10.718750,0.009100,0.000072,0.000000
10.781250,0.009049,0.000072,0.000000
10.843750,0.008957,0.000072,0.000000
10.906250,0.009097,0.000072,0.000000
10.968750,0.008840,0.000071,0.000000
11.031250,0.008889,0.000071,0.000000
11.093750,0.008852,0.000071,0.000000
11.156250,0.008821,0.000071,0.000000
11.218750,0.008746,0.000071,0.000000
11.281250,0.008657,0.000070,0.000000
11.343750,0.008560,0.000070,0.000000
11.406250,0.008540,0.000070,0.000000
11.468750,0.008356,0.000069,0.000000
11.531250,0.008612,0.000070,0.000000
11.593750,0.008493,0.000070,0.000000
11.656250,0.008442,0.000070,0.000000
11.718750,0.008247,0.000069,0.000000
11.781250,0.008202,0.000069,0.000000
11.843750,0.008281,0.000069,0.000000
11.906250,0.008241,0.000069,0.000000
11.968750,0.008083,0.000068,0.000000
12.031250,0.008172,0.000068,0.000000
12.093750,0.008149,0.000068,0.000000
12.156250,0.007972,0.000068,0.000000
12.218750,0.008120,0.000068,0.000000
12.281250,0.008054,0.000068,0.000000
12.343750,0.008038,0.000068,0.000000
12.406250,0.007845,0.000067,0.000000
12.468750,0.007695,0.000066,0.000000
12.531250,0.007897,0.000067,0.000000
12.593750,0.007711,0.000067,0.000000
12.656250,0.007649,0.000066,0.000000
12.718750,0.007700,0.000066,0.000000
12.781250,0.007664,0.000066,0.000000
12.843750,0.007546,0.000066,0.000000
12.906250,0.007557,0.000066,0.000000
12.968750,0.007621,0.000066,0.000000
13.031250,0.007581,0.000066,0.000000
13.093750,0.007498,0.000065,0.000000
13.156250,0.007460,0.000065,0.000000
13.218750,0.007458,0.000065,0.000000
13.281250,0.007368,0.000065,0.000000
13.343750,0.007288,0.000065,0.000000
13.406250,0.007205,0.000064,0.000000
13.468750,0.007235,0.000064,0.000000
13.531250,0.007126,0.000064,0.000000
13.593750,0.007249,0.000064,0.000000
13.656250,0.006990,0.000063,0.000000
13.718750,0.007130,0.000064,0.000000
13.781250,0.007020,0.000063,0.000000
13.843750,0.006999,0.000063,0.000000
13.906250,0.007034,0.000063,0.000000
13.968750,0.006951,0.000063,0.000000
14.031250,0.006947,0.000063,0.000000
14.093750,0.006900,0.000063,0.000000
14.156250,0.006802,0.000062,0.000000
14.218750,0.006906,0.000063,0.000000
14.281250,0.006853,0.000063,0.000000
14.343750,0.006840,0.000063,0.000000
14.406250,0.006733,0.000062,0.000000
14.468750,0.006714,0.000062,0.000000
14.531250,0.006733,0.000062,0.000000
14.593750,0.006700,0.000062,0.000000
14.656250,0.006667,0.000062,0.000000
14.718750,0.006627,0.000062,0.000000
14.781250,0.006554,0.000061,0.000000
14.843750,0.006492,0.000061,0.000000
14.906250,0.006528,0.000061,0.000000
14.968750,0.006534,0.000061,0.000000
15.031250,0.006392,0.000060,0.000000
15.093750,0.006502,0.000061,0.000000
15.156250,0.006331,0.000060,0.000000
15.218750,0.006472,0.000061,0.000000
15.281250,0.006223,0.000060,0.000000
15.343750,0.006265,0.000060,0.000000
15.406250,0.006372,0.000060,0.000000
15.468750,0.006294,0.000060,0.000000
15.531250,0.006255,0.000060,0.000000
