y,flux,flux_err,mb_flux
0.031250,0.000135,0.000006,0.000976
0.093750,0.002575,0.000050,0.008712
0.156250,0.011930,0.000139,0.023825
0.218750,0.031125,0.000268,0.045616
0.281250,0.064310,0.000440,0.073086
0.343750,0.111148,0.000644,0.104995
0.406250,0.174206,0.000881,0.139930
0.468750,0.249940,0.001133,0.176383
0.531250,0.336698,0.001399,0.212828
0.593750,0.430112,0.001668,0.247800
0.656250,0.528978,0.001932,0.279965
0.718750,0.624470,0.002178,0.308176
0.781250,0.720575,0.002414,0.331518
0.843750,0.800744,0.002600,0.349339
0.906250,0.871556,0.002772,0.361256
0.968750,0.924901,0.002906,0.367154
1.031250,0.967858,0.003008,0.367169
1.093750,0.987980,0.003059,0.361655
1.156250,1.000000,0.003095,0.351147
1.218750,0.986378,0.003078,0.336317
1.281250,0.972308,0.003070,0.317928
1.343750,0.940136,0.003020,0.296788
1.406250,0.902374,0.002946,0.273710
1.468750,0.858232,0.002873,0.249473
1.531250,0.812955,0.002790,0.224797
1.593750,0.765710,0.002701,0.200316
1.656250,0.710545,0.002596,0.176567
1.718750,0.664654,0.002501,0.153984
1.781250,0.624152,0.002419,0.132892
1.843750,0.582193,0.002330,0.113516
1.906250,0.545468,0.002252,0.095990
1.968750,0.514413,0.002187,0.080365
2.031250,0.486405,0.002124,0.066625
2.093750,0.458092,0.002057,0.054701
2.156250,0.440343,0.002016,0.044482
2.218750,0.418928,0.001963,0.035830
2.281250,0.401793,0.001922,0.028591
2.343750,0.388992,0.001895,0.022603
2.406250,0.372788,0.001854,0.017705
2.468750,0.364838,0.001833,0.013742
2.531250,0.354172,0.001808,0.010569
2.593750,0.346494,0.001787,0.008056
2.656250,0.331616,0.001747,0.006086
2.718750,0.329389,0.001744,0.004556
2.781250,0.320543,0.001715,0.003381
2.843750,0.314112,0.001699,0.002487
2.906250,0.305306,0.001679,0.001813
2.968750,0.300267,0.001665,0.001311
3.031250,0.293506,0.001644,0.000939
3.093750,0.288821,0.001629,0.000667
3.156250,0.282656,0.001614,0.000470
3.218750,0.281900,0.001610,0.000328
3.281250,0.276335,0.001595,0.000227
3.343750,0.275923,0.001597,0.000156
3.406250,0.268765,0.001575,0.000106
3.468750,0.263697,0.001558,0.000072
3.531250,0.260745,0.001553,0.000048
3.593750,0.253795,0.001531,0.000032
3.656250,0.251368,0.001525,0.000021
3.718750,0.247647,0.001511,0.000014
3.781250,0.245226,0.001507,0.000009
3.843750,0.241601,0.001491,0.000006
3.906250,0.237049,0.001480,0.000004
3.968750,0.233944,0.001471,0.000002
4.031250,0.230720,0.001459,0.000001
4.093750,0.225017,0.001443,0.000001
4.156250,0.226181,0.001444,0.000001
4.218750,0.219405,0.001426,0.000000
4.281250,0.217535,0.001418,0.000000
4.343750,0.216791,0.001417,0.000000
4.406250,0.212055,0.001400,0.000000
4.468750,0.211164,0.001396,0.000000
4.531250,0.209340,0.001391,0.000000
4.593750,0.206808,0.001382,0.000000
4.656250,0.203810,0.001371,0.000000
4.718750,0.201438,0.001362,0.000000
4.781250,0.199548,0.001359,0.000000
4.843750,0.197879,0.001351,0.000000
4.906250,0.195620,0.001344,0.000000
4.968750,0.192073,0.001332,0.000000
5.031250,0.192037,0.001332,0.000000
5.093750,0.187813,0.001317,0.000000
5.156250,0.187184,0.001315,0.000000
5.218750,0.186307,0.001310,0.000000
5.281250,0.183773,0.001302,0.000000
5.343750,0.181434,0.001295,0.000000
5.406250,0.179156,0.001288,0.000000
5.468750,0.176214,0.001276,0.000000
5.531250,0.177489,0.001282,0.000000
5.593750,0.173156,0.001265,0.000000
5.656250,0.173160,0.001263,0.000000
5.718750,0.171704,0.001258,0.000000
5.781250,0.167925,0.001244,0.000000
5.843750,0.167878,0.001244,0.000000
5.906250,0.167613,0.001244,0.000000
5.968750,0.165170,0.001235,0.000000
6.031250,0.162789,0.001226,0.000000
6.093750,0.163400,0.001229,0.000000
6.156250,0.158955,0.001211,0.000000
6.218750,0.159890,0.001212,0.000000
6.281250,0.157911,0.001209,0.000000
6.343750,0.155740,0.001198,0.000000
