y,flux,flux_err,mb_flux
0.031250,0.000098,0.000003,0.000976
0.093750,0.002115,0.000026,0.008712
0.156250,0.009696,0.000074,0.023825
0.218750,0.025735,0.000143,0.045616
0.281250,0.054092,0.000235,0.073086
0.343750,0.095269,0.000344,0.104995
0.406250,0.151603,0.000473,0.139930
0.468750,0.220527,0.000611,0.176383
0.531250,0.302947,0.000761,0.212828
0.593750,0.392542,0.000911,0.247800
0.656250,0.491315,0.001066,0.279965
0.718750,0.588030,0.001206,0.308176
0.781250,0.682706,0.001332,0.331518
0.843750,0.770212,0.001443,0.349339
0.906250,0.845169,0.001533,0.361256
0.968750,0.908378,0.001602,0.367154
1.031250,0.956228,0.001641,0.367169
1.093750,0.985510,0.001660,0.361655
1.156250,1.000000,0.001650,0.351147
1.218750,0.999227,0.001627,0.336317
1.281250,0.980665,0.001577,0.317928
1.343750,0.954107,0.001524,0.296788
1.406250,0.917837,0.001458,0.273710
1.468750,0.873856,0.001383,0.249473
1.531250,0.825453,0.001304,0.224797
1.593750,0.775108,0.001226,0.200316
1.656250,0.724264,0.001147,0.176567
1.718750,0.674068,0.001074,0.153984
1.781250,0.628226,0.001008,0.132892
1.843750,0.583242,0.000942,0.113516
1.906250,0.542328,0.000885,0.095990
1.968750,0.504675,0.000833,0.080365
2.031250,0.470618,0.000784,0.066625
2.093750,0.439964,0.000743,0.054701
2.156250,0.414263,0.000705,0.044482
2.218750,0.391732,0.000675,0.035830
2.281250,0.371083,0.000647,0.028591
2.343750,0.352419,0.000620,0.022603
2.406250,0.336345,0.000598,0.017705
2.468750,0.322543,0.000578,0.013742
2.531250,0.310489,0.000560,0.010569
2.593750,0.299050,0.000546,0.008056
2.656250,0.289210,0.000533,0.006086
2.718750,0.280328,0.000520,0.004556
2.781250,0.271770,0.000509,0.003381
2.843750,0.263230,0.000497,0.002487
2.906250,0.256899,0.000488,0.001813
2.968750,0.250324,0.000479,0.001311
3.031250,0.244453,0.000471,0.000939
3.093750,0.239193,0.000463,0.000667
3.156250,0.232510,0.000454,0.000470
3.218750,0.228100,0.000448,0.000328
3.281250,0.222958,0.000440,0.000227
3.343750,0.218838,0.000434,0.000156
3.406250,0.213722,0.000429,0.000106
3.468750,0.209489,0.000422,0.000072
3.531250,0.205592,0.000417,0.000048
3.593750,0.201037,0.000411,0.000032
3.656250,0.198110,0.000407,0.000021
3.718750,0.194812,0.000403,0.000014
3.781250,0.191444,0.000398,0.000009
3.843750,0.187480,0.000393,0.000006
3.906250,0.184544,0.000388,0.000004
3.968750,0.182249,0.000385,0.000002
4.031250,0.178521,0.000380,0.000001
4.093750,0.175705,0.000376,0.000001
4.156250,0.173198,0.000373,0.000001
4.218750,0.170709,0.000370,0.000000
4.281250,0.168381,0.000366,0.000000
4.343750,0.165395,0.000362,0.000000
4.406250,0.163644,0.000359,0.000000
4.468750,0.161572,0.000357,0.000000
4.531250,0.158691,0.000352,0.000000
4.593750,0.156264,0.000349,0.000000
4.656250,0.153663,0.000346,0.000000
4.718750,0.152103,0.000344,0.000000
4.781250,0.149860,0.000341,0.000000
4.843750,0.148390,0.000339,0.000000
4.906250,0.146976,0.000336,0.000000
4.968750,0.144782,0.000334,0.000000
5.031250,0.142914,0.000331,0.000000
5.093750,0.140998,0.000329,0.000000
5.156250,0.139472,0.000326,0.000000
5.218750,0.138075,0.000324,0.000000
5.281250,0.135699,0.000321,0.000000
5.343750,0.134587,0.000319,0.000000
5.406250,0.133257,0.000318,0.000000
5.468750,0.131733,0.000316,0.000000
5.531250,0.129638,0.000313,0.000000
5.593750,0.128780,0.000311,0.000000
5.656250,0.127624,0.000310,0.000000
5.718750,0.125274,0.000306,0.000000
5.781250,0.123940,0.000304,0.000000
5.843750,0.122483,0.000302,0.000000
5.906250,0.121759,0.000302,0.000000
5.968750,0.120602,0.000300,0.000000
6.031250,0.119673,0.000298,0.000000
6.093750,0.117890,0.000296,0.000000
6.156250,0.116357,0.000294,0.000000
6.218750,0.115923,0.000293,0.000000
6.281250,0.114621,0.000292,0.000000
6.343750,0.113542,0.000290,0.000000
6.406250,0.112635,0.000289,0.000000
6.468750,0.111641,0.000287,0.000000
6.531250,0.110136,0.000286,0.000000
6.593750,0.109709,0.000285,0.000000
6.656250,0.108346,0.000282,0.000000
6.718750,0.107535,0.000281,0.000000
6.781250,0.106642,0.000280,0.000000
6.843750,0.105525,0.000278,0.000000
6.906250,0.104368,0.000276,0.000000
6.968750,0.103157,0.000275,0.000000
7.031250,0.103075,0.000275,0.000000
7.093750,0.101685,0.000273,0.000000
7.156250,0.100859,0.000271,0.000000
7.218750,0.100002,0.000271,0.000000
7.281250,0.098993,0.000269,0.000000
7.343750,0.098413,0.000268,0.000000
7.406250,0.097955,0.000268,0.000000
7.468750,0.096159,0.000265,0.000000
7.531250,0.096157,0.000265,0.000000
7.593750,0.094783,0.000263,0.000000
7.656250,0.094397,0.000262,0.000000
7.718750,0.093720,0.000261,0.000000
7.781250,0.093102,0.000260,0.000000
7.843750,0.092451,0.000259,0.000000
7.906250,0.091385,0.000258,0.000000
7.968750,0.091069,0.000257,0.000000
8.031250,0.090032,0.000255,0.000000
8.093750,0.089340,0.000255,0.000000
8.156250,0.089079,0.000254,0.000000
8.218750,0.088395,0.000253,0.000000
8.281250,0.087630,0.000252,0.000000
8.343750,0.087204,0.000251,0.000000
8.406250,0.086071,0.000250,0.000000
8.468750,0.085494,0.000249,0.000000
8.531250,0.084777,0.000248,0.000000
8.593750,0.084661,0.000247,0.000000
8.656250,0.083843,0.000246,0.000000
8.718750,0.083320,0.000246,0.000000
8.781250,0.082498,0.000244,0.000000
8.843750,0.082430,0.000244,0.000000
8.906250,0.081479,0.000243,0.000000
8.968750,0.080873,0.000241,0.000000
9.031250,0.080698,0.000241,0.000000
9.093750,0.080222,0.000240,0.000000
9.156250,0.079391,0.000239,0.000000
9.218750,0.079245,0.000239,0.000000
9.281250,0.078418,0.000238,0.000000
9.343750,0.077915,0.000237,0.000000
9.406250,0.077395,0.000236,0.000000
9.468750,0.077315,0.000236,0.000000
9.531250,0.076199,0.000234,0.000000
9.593750,0.076260,0.000234,0.000000
9.656250,0.075277,0.000233,0.000000
9.718750,0.074882,0.000232,0.000000
9.781250,0.074714,0.000232,0.000000
9.843750,0.073576,0.000230,0.000000
9.906250,0.073447,0.000230,0.000000
9.968750,0.072841,0.000229,0.000000
